defeito_constatado_id,solucao_id,familia_id,defeito_constatado_descricao,solucao_descricao,categoria_solucao,categoria_defeito,familia_descricao
26814.0,4982.0,5370.0,Sem Condições De Manutenção No Local,Solicitar Troca De Equipamento,Troca Equipamento,Outros,Refrigerador
26814.0,4982.0,5370.0,Sem Condições De Manutenção No Local,Solicitar Troca De Equipamento,Troca Equipamento,Outros,Refrigerador
26814.0,5227.0,7634.0,Sem Condições De Manutenção No Local,Cliente Recusou Atendimento,Orientação Cliente,Outros,Congelador
26814.0,5240.0,5370.0,Sem Condições De Manutenção No Local,Equipamento Recolhido,Troca Equipamento,Outros,Refrigerador
26814.0,5240.0,7634.0,Sem Condições De Manutenção No Local,Equipamento Recolhido,Troca Equipamento,Outros,Congelador
26814.0,6750.0,5370.0,Sem Condições De Manutenção No Local,Cliente Não Autorizou,Orientação Cliente,Outros,Refrigerador
26815.0,4972.0,5370.0,Vibração Na Carcaça,Destravar Micromotor,Motor / Bomba,Estrutura,Refrigerador
26815.0,4985.0,5370.0,Vibração Na Carcaça,Troca/Reparo Em Micro Motor,Motor / Bomba,Estrutura,Refrigerador
26815.0,4986.0,5370.0,Vibração Na Carcaça,Reparo Motor Evaporador,Motor / Bomba,Estrutura,Refrigerador
26815.0,4997.0,5370.0,Vibração Na Carcaça,Troca De Hélice,Troca De Peça,Estrutura,Refrigerador
26816.0,4969.0,5370.0,Vazamento De Gás Refrigerante,Carga De Gás Refrigerante,Recarga De Gás,Vazamento,Refrigerador
26816.0,4969.0,5370.0,Vazamento De Gás Refrigerante,Carga De Gás Refrigerante,Recarga De Gás,Vazamento,Refrigerador
26816.0,4982.0,5370.0,Vazamento De Gás Refrigerante,Solicitar Troca De Equipamento,Troca Equipamento,Vazamento,Refrigerador
26816.0,4990.0,5370.0,Vazamento De Gás Refrigerante,Troca De Capilar,Refrigeração,Vazamento,Refrigerador
26816.0,4994.0,5370.0,Vazamento De Gás Refrigerante,Troca De Filtro Secador,Produto / Insumo,Vazamento,Refrigerador
26816.0,5515.0,5370.0,Vazamento De Gás Refrigerante,Troca Evaporador,Refrigeração,Vazamento,Refrigerador
26816.0,5516.0,5370.0,Vazamento De Gás Refrigerante,Troca Condensador,Refrigeração,Vazamento,Refrigerador
26816.0,7499.0,5370.0,Vazamento De Gás Refrigerante,Visita Sta Com Troca De Peça,Troca De Peça,Vazamento,Refrigerador
26816.0,7499.0,5370.0,Vazamento De Gás Refrigerante,Visita Sta Com Troca De Peça,Troca De Peça,Vazamento,Refrigerador
26817.0,4969.0,5370.0,Unidade De Refrigeração Sem Gás,Carga De Gás Refrigerante,Recarga De Gás,Refrigeração,Refrigerador
26817.0,4969.0,5370.0,Unidade De Refrigeração Sem Gás,Carga De Gás Refrigerante,Recarga De Gás,Refrigeração,Refrigerador
26817.0,4987.0,5370.0,Unidade De Refrigeração Sem Gás,Troca/Reparo Unidade De Refrigeração,Reparo,Refrigeração,Refrigerador
26817.0,5105.0,5370.0,Unidade De Refrigeração Sem Gás,Troca/Reparo Unidade De Refrigeração,Reparo,Refrigeração,Refrigerador
26817.0,6704.0,5370.0,Unidade De Refrigeração Sem Gás,Troca/Reparo Unidade De Refrigeração,Troca De Peça,Refrigeração,Refrigerador
26817.0,7499.0,5370.0,Unidade De Refrigeração Sem Gás,Visita Sta Com Troca De Peça,Troca De Peça,Refrigeração,Refrigerador
26817.0,7499.0,5370.0,Unidade De Refrigeração Sem Gás,Visita Sta Com Troca De Peça,Troca De Peça,Refrigeração,Refrigerador
26818.0,4981.0,5370.0,Transformador Queimado,Religar Contato/Tomada,Sistema Elétrico,Elétrico,Refrigerador
26818.0,4981.0,7634.0,Transformador Queimado,Religar Contato/Tomada,Sistema Elétrico,Elétrico,Congelador
26818.0,4981.0,5370.0,Transformador Queimado,Religar Contato/Tomada,Sistema Elétrico,Elétrico,Refrigerador
26818.0,5001.0,7634.0,Transformador Queimado,Troca De Reator,Sistema Elétrico,Elétrico,Congelador
26818.0,5001.0,5370.0,Transformador Queimado,Troca De Reator,Sistema Elétrico,Elétrico,Refrigerador
26818.0,5001.0,5370.0,Transformador Queimado,Troca De Reator,Sistema Elétrico,Elétrico,Refrigerador
26818.0,5004.0,5370.0,Transformador Queimado,Troca De Transformador,Sistema Elétrico,Elétrico,Refrigerador
26818.0,5004.0,5370.0,Transformador Queimado,Troca De Transformador,Sistema Elétrico,Elétrico,Refrigerador
26818.0,5079.0,7634.0,Transformador Queimado,Troca De Transformador,Sistema Elétrico,Elétrico,Congelador
26818.0,5115.0,7634.0,Transformador Queimado,Troca De Reator,Sistema Elétrico,Elétrico,Congelador
26818.0,5501.0,7634.0,Transformador Queimado,Troca Da Fiação,Sistema Elétrico,Elétrico,Congelador
26818.0,5654.0,7634.0,Transformador Queimado,Revisão Geral No Sistema Elétrico,Outros,Elétrico,Congelador
26819.0,4981.0,7634.0,Tomada Desligada,Religar Contato/Tomada,Sistema Elétrico,Elétrico,Congelador
26819.0,4981.0,5370.0,Tomada Desligada,Religar Contato/Tomada,Sistema Elétrico,Elétrico,Refrigerador
26820.0,4981.0,7634.0,Tomada Com Defeito,Religar Contato/Tomada,Sistema Elétrico,Elétrico,Congelador
26820.0,4981.0,5370.0,Tomada Com Defeito,Religar Contato/Tomada,Sistema Elétrico,Elétrico,Refrigerador
26820.0,4982.0,5370.0,Tomada Com Defeito,Solicitar Troca De Equipamento,Troca Equipamento,Elétrico,Refrigerador
26820.0,4984.0,5370.0,Tomada Com Defeito,Troca/Instalação De Prateleiras,Troca De Peça,Elétrico,Refrigerador
26820.0,4992.0,5370.0,Tomada Com Defeito,Troca De Contato/Tomada,Sistema Elétrico,Elétrico,Refrigerador
26820.0,4992.0,7634.0,Tomada Com Defeito,Troca De Contato/Tomada,Sistema Elétrico,Elétrico,Congelador
26821.0,4971.0,5370.0,Termostato Com Defeito,Desativar Resistência,Outros,Sensores,Refrigerador
26821.0,4979.0,5370.0,Termostato Com Defeito,Regulagem De Porta,Estrutura,Sensores,Refrigerador
26821.0,4980.0,5370.0,Termostato Com Defeito,Regulagem De Termostato,Sensores / Controle,Sensores,Refrigerador
26821.0,4980.0,7634.0,Termostato Com Defeito,Regulagem De Termostato,Sensores / Controle,Sensores,Congelador
26821.0,4980.0,5370.0,Termostato Com Defeito,Regulagem De Termostato,Sensores / Controle,Sensores,Refrigerador
26821.0,4985.0,5370.0,Termostato Com Defeito,Troca/Reparo Em Micro Motor,Motor / Bomba,Sensores,Refrigerador
26821.0,5003.0,5370.0,Termostato Com Defeito,Troca De Termostato,Sensores / Controle,Sensores,Refrigerador
26821.0,5003.0,5370.0,Termostato Com Defeito,Troca De Termostato,Sensores / Controle,Sensores,Refrigerador
26821.0,5003.0,7634.0,Termostato Com Defeito,Troca De Termostato,Sensores / Controle,Sensores,Congelador
26821.0,5004.0,5370.0,Termostato Com Defeito,Troca De Transformador,Sistema Elétrico,Sensores,Refrigerador
26821.0,5501.0,7634.0,Termostato Com Defeito,Troca Da Fiação,Sistema Elétrico,Sensores,Congelador
26821.0,5502.0,5370.0,Termostato Com Defeito,Ajuste Controlador,Sensores / Controle,Sensores,Refrigerador
26821.0,5506.0,7634.0,Termostato Com Defeito,Revisão Geral No Sistema Elétrico,Outros,Sensores,Congelador
26822.0,4991.0,5370.0,Start Queimado,Troca De Compressor,Refrigeração,Elétrico,Refrigerador
26822.0,5002.0,5370.0,Start Queimado,Troca De Relé,Troca De Peça,Elétrico,Refrigerador
26822.0,5004.0,5370.0,Start Queimado,Troca De Transformador,Sistema Elétrico,Elétrico,Refrigerador
26822.0,5007.0,7634.0,Start Queimado,Troca Do Start,Troca De Peça,Elétrico,Congelador
26822.0,5007.0,5370.0,Start Queimado,Troca Do Start,Troca De Peça,Elétrico,Refrigerador
26823.0,4980.0,5370.0,Sensor De Temperatura C/Defeito,Regulagem De Termostato,Sensores / Controle,Sensores,Refrigerador
26823.0,4982.0,5370.0,Sensor De Temperatura C/Defeito,Solicitar Troca De Equipamento,Troca Equipamento,Sensores,Refrigerador
26823.0,4982.0,5370.0,Sensor De Temperatura C/Defeito,Solicitar Troca De Equipamento,Troca Equipamento,Sensores,Refrigerador
26823.0,5003.0,5370.0,Sensor De Temperatura C/Defeito,Troca De Termostato,Sensores / Controle,Sensores,Refrigerador
26823.0,5081.0,5370.0,Sensor De Temperatura C/Defeito,Troca De Sensor De Gelo,Sensores / Controle,Sensores,Refrigerador
26823.0,5081.0,7634.0,Sensor De Temperatura C/Defeito,Troca De Sensor De Gelo,Sensores / Controle,Sensores,Congelador
26823.0,5504.0,5370.0,Sensor De Temperatura C/Defeito,Troca Do Sensor De Temperatura,Sensores / Controle,Sensores,Refrigerador
26823.0,5504.0,7634.0,Sensor De Temperatura C/Defeito,Troca Do Sensor De Temperatura,Sensores / Controle,Sensores,Congelador
26823.0,5654.0,7634.0,Sensor De Temperatura C/Defeito,Revisão Geral No Sistema Elétrico,Outros,Sensores,Congelador
26823.0,6398.0,5370.0,Sensor De Temperatura C/Defeito,Reparo De Sensor De Temperatura,Sensores / Controle,Sensores,Refrigerador
26823.0,6398.0,5370.0,Sensor De Temperatura C/Defeito,Reparo De Sensor De Temperatura,Sensores / Controle,Sensores,Refrigerador
